Title ,Link ,Tag1,Tag2,Tag3,Artist
Safe and Sound,https://www.youtube.com/watch?v=RzhAS_GnJIc,Serene ,Indie,Moody,Taylor Swift
Lemon,https://www.youtube.com/watch?v=SX_ViT4Ra7k,Dark,Sorrow,Pop,Kenshi Yonezu 米津玄師
...Ready For It?,https://www.youtube.com/watch?v=wIft-t-MQuE,Dark,Pop,Moody,Taylor Swift
Somebody That I Used To Know,https://youtu.be/8UVNT4wvIGY,Moody,Pop,Artistic,Gotye
good 4 u,https://www.youtube.com/watch?v=gNi_6U5Pm_o&ab_channel=OliviaRodrigoVEVO,Pop,Upbeat,Light,Olivia Rodrigo
Loser ,https://www.youtube.com/watch?v=Dx_fKPBPYUI,Pop,Moody,Dark,Kenshi Yonezu 米津玄師
Dynamite,https://www.youtube.com/watch?v=gdZLi9oWNZg,Pop,Upbeat,bright,BTS (방탄소년단)
Permission to Dance,https://www.youtube.com/watch?v=CuklIb9d3fI,Pop,Upbeat,bright,BTS (방탄소년단)
Rolling in the Deep,https://www.youtube.com/watch?v=rYEDA3JcQqw,Soul,Pop,Strength?,Adele
The Sound Of Silence,https://www.youtube.com/watch?v=u9Dg-g7t2l4,Sorrow,Serene,Dark,Disturbed (Band)
Scarborough Fair,https://www.youtube.com/watch?v=Vz1koZ17XFI,Psycheledic,Folk,Baroque,Aurora Aksnes
Phantom of the Opera,https://www.youtube.com/watch?v=pgz6PnHkmpY,,,,Phantom of the Opera
Another day of Sun,https://www.youtube.com/watch?v=xVVqlm8Fq3Y,,,,La la land
Someone in the crowd,https://www.youtube.com/watch?v=cmkZeTX5fq0,,,,La la land
Do you hear the people sing?,https://www.youtube.com/watch?v=1q82twrdr0U,,,,Les Misérables
7 rings,https://www.youtube.com/watch?v=QYh6mYIJG2Y&ab_channel=ArianaGrandeVevo,Upbeat,Pop,Colorful,Ariana Grande
Summertime Sadness,https://www.youtube.com/watch?v=TdrL3QxjyVw&ab_channel=LanaDelReyVEVO,Indie,,,Lana Del Rey
Bad Habit,https://www.youtube.com/watch?v=VF-FGf_ZZiI&ab_channel=SteveLacy,Pop,Colorful,,Steve Lacy
Despacito,https://www.youtube.com/watch?v=kJQP7kiw5Fk,Pop,,,Luis Fonsi
Late Night Talking,https://www.youtube.com/watch?v=4VaqA-5aQTM&ab_channel=HarryStylesVEVO,,,,Harry Styles
Never gonna give you up,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,,Rick Astley
It's My Life,https://www.youtube.com/watch?v=vx2u5uUu3DE,,,,Bon Jovi
Cardigan,https://www.youtube.com/watch?v=K-a8s8OLBSE&ab_channel=TaylorSwiftVEVO,,,,Taylor Swift
Eponine,https://www.youtube.com/watch?v=deUgUoJ4z5I&t=117s,,,,Les Misérables
Intentions,https://www.youtube.com/watch?v=3AyMjyHu1bA&ab_channel=JustinBieberVEVO,,,,Justin Bieber
Ready or Not,https://www.youtube.com/watch?v=dPKG1-3LXBs&ab_channel=BridgitMendlerVEVO,,,,Bridgit Mendler
Feels Like Summer,https://www.youtube.com/watch?v=F1B9Fk_SgI0&ab_channel=ChildishGambinoVEVO,Animated,,,Childish Gambino
Truth Hurts,https://www.youtube.com/watch?v=P00HMxdsVZI&ab_channel=LizzoMusic,,,,Lizzo
Heal the World,https://www.youtube.com/watch?v=BWf-eARnf6U,,,,Micheal Jackson
We are the World,https://www.youtube.com/watch?v=9AjkUyX0rVw,,,,Micheal Jackson
Feels,https://www.youtube.com/watch?v=ozv4q2ov3Mk&ab_channel=CalvinHarrisVEVO,,,,Calvin Harris
Hasta el Amanecer,https://www.youtube.com/watch?v=kkx-7fsiWgg&ab_channel=NickyJamTV,Spanish,,,Nicky Jam
Lonely,https://www.youtube.com/watch?v=pqydBaa1QR8,rap,,,Dababy
Promiscuous,https://www.youtube.com/watch?v=0J3vgcE5i2o&ab_channel=NellyFurtadoVEVO,,,,Nelly Furtado
when the party's over,https://www.youtube.com/watch?v=pbMwTqkKSps&ab_channel=BillieEilishVEVO,,,,Billie Eilish
The kind of love we make,https://www.youtube.com/watch?v=x8Mc8Pbl06g&list=RDCLAK5uy_lJ8xZWiZj2GCw7MArjakb6b0zfvqwldps&index=3,,,,Luke Combs
Fall in Love,https://www.youtube.com/watch?v=d1yKrnPHAmo,,,,Bailey Zimmerman
Love,https://www.youtube.com/watch?v=3-NTv0CdFCk&ab_channel=LanaDelReyVEVO,,,,Lana Del Rey
Better Scarborough Fair,https://www.youtube.com/watch?v=xLQphyy4YNw,,,,The Graduate
Last Friday Night (T.G.I.F.),https://www.youtube.com/watch?v=KlyXNRrsk4A&ab_channel=KatyPerryVEVO,,,,Katy Perry
90210,https://www.youtube.com/watch?v=BuNBLjJzRoo&ab_channel=TravisScottVEVO,,,,Travis Scott
New Rules,https://www.youtube.com/watch?v=k2qgadSvNyU&ab_channel=DuaLipa,,,,Dua Lipa
Party in the USA,https://www.youtube.com/watch?v=M11SvDtPBhA&ab_channel=HollywoodRecordsVEVO,,,,Miley Cyrus
Coffin Dance/Astronomia,https://www.youtube.com/watch?v=j9V78UbdzWI,,,,"Vicetone, Tony Igy"
Heat Waves,https://www.youtube.com/watch?v=mRD0-GxqHVo&ab_channel=GlassAnimalsVEVO,,,,Glass Animals
Sunflower,https://www.youtube.com/watch?v=ApXoWvfEYVU&ab_channel=PostMaloneVEVO,,,,Post Malone
Save Your Tears,https://www.youtube.com/watch?v=XXYlFuWEuKI&ab_channel=TheWeekndVEVO,,,,The Weeknd
3005,https://www.youtube.com/watch?v=tG35R8F2j8k&ab_channel=ChildishGambinoVEVO,,,,Childish Gambino
Beat it ,https://www.youtube.com/watch?v=oRdxUFDoQe0,,,,Michael Jackson
See You Again,https://www.youtube.com/watch?v=TGgcC5xg9YI&ab_channel=Tyler%2CTheCreator,,,,Tyler The Creator
Gangnam style,https://www.youtube.com/watch?v=9bZkp7q19f0,,,,PSY
Why'd You Only Call Me When Your High?,https://www.youtube.com/watch?v=6366dxFf-Os&ab_channel=ArcticMonkeysVEVO,,,,Arctic Monkeys
I Bet You Think About Me,https://www.youtube.com/watch?v=5UMCrq-bBCg&ab_channel=TaylorSwiftVEVO,,,,Taylor Swift
She's All I Wanna Be,https://www.youtube.com/watch?v=uS_y_65CcpA&ab_channel=TateMcRaeVEVO,,,,Tate McRae
Nature Scenery and light music,https://www.youtube.com/watch?v=BHACKCNDMW8,,,,N/A
Good Days,https://www.youtube.com/watch?v=2p3zZoraK9g&ab_channel=SZAVEVO,,,,SZA
After The Storm,https://www.youtube.com/watch?v=9f5zD7ZSNpQ&ab_channel=KaliUchisVEVO,,,,Kali Uchis
Animal,https://www.youtube.com/watch?v=gCYcHz2k5x0,Party,Electronic,,Margin Garrix
Everytime,https://www.youtube.com/watch?v=Lzi7ljJiLJQ&ab_channel=777tv,Indie,,,Boy Pablo
Sah Sah,https://www.youtube.com/watch?v=eUfU31LrTqQ&list=PLkqz3S84Tw-TY5xxxl8cECbhcLivkUWdW&index=6,,Electronic,Indian Traditional?,Marshmellow
Can I Call You Tonight?,https://www.youtube.com/watch?v=hh1WeQxfCX0&ab_channel=Dayglow,,,,Dayglow
JEALOUS,https://www.youtube.com/watch?v=d0Jyvteqzrw&ab_channel=EYEDRESS,,,,EYEDRESS
Electric(Nightcore) - background is from movie ready player one,https://www.youtube.com/watch?v=f5WzPWGgpXw,GMV,,,Nightcore
we fell in love in october,https://www.youtube.com/watch?v=iggmiF7DNoM&ab_channel=girlinred,,,,girl in red
These Days,https://www.youtube.com/watch?v=pgWZQr7r0l0&ab_channel=Wallows,,,,Wallows
We Will Rock you - background from cutscenes in various movies,https://www.youtube.com/watch?v=jNgUo8Ivlk8,GMV,,,N/A
Drown,https://www.youtube.com/watch?v=lhinM0cfVFU&ab_channel=WestonEstateVEVO,,,,Weston Estate
Come and Get It,https://www.youtube.com/watch?v=n-D1EB74Ckg&ab_channel=SelenaGomezVEVO,,,,Selena Gomez
"""POP""",https://www.youtube.com/watch?v=f6YDKF0LVWw,,,,NAYEON
Kesariya,https://www.youtube.com/watch?v=BddP6PYo2gs&ab_channel=SonyMusicIndia,,,,Arijit Singh
After like,https://www.youtube.com/watch?v=F0B7HDiY-10,,,,IVE
Pompeii,https://www.youtube.com/watch?v=F90Cw4l-8NY,,,,Bastille
Cups,https://www.youtube.com/watch?v=cmSbXsFE3l8&ab_channel=AnnaKendrickVEVO,,,,Anna Kendrick
Fireflies,https://www.youtube.com/watch?v=psuRGfAaju4&ab_channel=OwlCityVEVO,,,,Owl City
Stargazing,https://www.youtube.com/watch?v=8giBPUpzKRw&ab_channel=TheNeighbourhoodVEVO,,,,The Neighborhood
As it was,https://www.youtube.com/watch?v=H5v3kku4y6Q,,,,Harry Styles
You Need to Calm Down,https://www.youtube.com/watch?v=Dkk9gvTmCXY&ab_channel=TaylorSwiftVEVO,,,,Taylor Swift
I ain't Worried,https://www.youtube.com/watch?v=mNEUkkoUoIA,,,,One Republic
Sunroof,https://www.youtube.com/watch?v=G5xSLbYMr-I,,,,Nicky Youre
Night Changes,https://www.youtube.com/watch?v=syFZfO_wfMQ&ab_channel=OneDirectionVEVO,,,,One Direction
Maniac,https://www.youtube.com/watch?v=-E-_IRJU5w0&ab_channel=ConanGrayVEVO,,,,Conan Gray
Material Girl,https://www.youtube.com/watch?v=6p-lDYPR2P8&ab_channel=Madonna,,,, Madonna
Perfect,https://www.youtube.com/watch?v=2Vv-BfVoq4g,,,,Ed Sheeran
Thinking out Loud,https://www.youtube.com/watch?v=lp-EO5I60KA,,,,Ed Sheeran
Shape of You,https://www.youtube.com/watch?v=JGwWNGJdvx8,,,,Ed Sheeran
See You Again,https://www.youtube.com/watch?v=RgKAFK5djSk,,,,Charlie Puth
Hymn of the Weekend,https://www.youtube.com/watch?v=YykjpeuMNEk,,,,Coldplay
Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY,,,,Coldplay
A sky full of stars,https://www.youtube.com/watch?v=VPRjCeoBqrI,,,,Coldplay
Hey Jude,https://www.youtube.com/watch?v=A_MjCqQoLLA,,,,Beatles
Don't let me down!,https://www.youtube.com/watch?v=NCtzkaL2t_Y,,,,Beatles
This is America,https://www.youtube.com/watch?v=VYOjWnS4cMY,,,,Childish Gambino
numb,https://www.youtube.com/watch?v=kXYiU_JCYtU,,,,lincoln park
Sugar,https://www.youtube.com/watch?v=09R8_2nJtjg,,,,Maroon 5
Memories,https://www.youtube.com/watch?v=SlPhMPnQ58k,,,,Maroon 5
Moves like Jagger,https://www.youtube.com/watch?v=iEPTlhBmwRg,,,,Maroon 5
Maps,https://www.youtube.com/watch?v=NmugSMBh_iI,,,,Maroon 5